vibration_amplitude_mm,vibration_frequency_hz,stress_mPa,strain_micro,concrete_age_years,ambient_temp_c,humidity_pct,maintenance_score,material_grade,foundation_settlement_mm,load_ratio,failure_risk
7.77,91.12,45.54,2546.16,68.2,4.2,65.3,4,M20,9.75,0.28,High
4.88,20.24,38.08,3005.53,18.4,9.4,89.8,6,M20,10.91,0.6,Medium
11.94,57.75,80.43,973.64,68.2,18.9,83.8,1,M30,16.75,0.49,High
4.1,86.48,80.98,171.09,23.9,25.8,25.1,2,M30,1.03,0.45,Medium
6.61,30.43,33.54,858.51,73.3,7.2,94.5,6,M40,9.74,0.27,Low
1.22,77.23,57.28,292.15,21.8,25.5,72.4,1,M30,16.16,0.41,Medium
0.43,80.33,83.79,451.54,71.6,7.9,32.2,9,M30,7.08,0.69,High
14.44,20.36,86.77,1567.13,5.0,-6.7,20.9,6,M40,14.79,0.75,High
12.55,68.25,48.26,881.72,53.5,-9.8,32.8,7,M20,8.93,0.5,Medium
10.45,92.82,43.49,1854.22,40.4,-3.9,82.9,1,M20,18.97,0.92,High
6.16,60.37,28.69,961.88,36.4,37.5,21.6,8,M30,1.51,0.57,Low
2.64,2.44,86.5,3297.83,17.5,47.7,37.5,5,M30,22.95,0.6,High
2.39,2.08,17.14,3180.21,53.2,15.6,76.8,5,M50,4.29,1.06,Low
3.79,43.49,54.29,2027.14,15.1,20.8,64.0,6,M30,3.96,0.81,Medium
8.26,111.22,29.02,1305.04,41.9,-1.2,78.7,7,M40,21.02,1.25,Low
10.73,28.21,28.72,1395.9,19.7,23.1,76.0,7,M30,21.73,0.6,Low
9.92,76.49,39.42,1500.3,71.7,-1.3,23.8,5,M20,2.32,1.11,Medium
4.24,27.43,89.9,2573.77,3.1,26.7,86.9,1,M20,22.72,1.01,High
14.33,39.28,9.67,1635.57,15.8,46.0,37.0,9,M20,6.83,1.18,Low
11.08,101.92,54.18,3012.88,18.9,1.7,61.5,6,M20,15.47,1.25,High
8.34,87.73,12.02,3309.92,31.6,35.9,68.3,9,M30,1.71,0.21,Low
9.2,12.35,18.13,1242.22,18.2,-8.6,32.6,4,M30,9.52,0.3,Low
6.32,52.02,42.36,2006.36,37.4,12.5,93.2,2,M30,11.27,0.94,Medium
3.75,4.47,48.39,423.19,65.6,-3.4,56.6,3,M30,15.0,0.63,Medium
5.37,58.23,27.0,781.59,53.7,11.1,24.3,4,M20,13.13,1.1,Medium
11.38,79.83,31.9,1505.78,43.9,0.4,90.3,10,M30,11.54,0.21,Low
0.27,15.1,12.39,801.09,7.6,12.4,64.0,8,M30,23.99,1.09,Low
1.79,35.38,30.77,3080.31,52.4,15.1,72.4,3,M50,4.63,0.35,Low
0.74,48.34,87.16,638.17,13.3,8.0,59.4,8,M50,3.95,0.52,Low
0.66,110.42,85.3,1649.25,59.2,29.4,82.6,6,M40,17.84,1.27,Medium
12.84,119.2,33.46,2159.38,19.5,45.1,22.5,4,M40,1.86,0.26,Low
10.57,6.34,53.52,2452.34,31.9,14.0,40.1,7,M20,12.07,0.58,High
7.14,91.56,82.32,1402.44,26.9,1.5,55.2,5,M20,12.1,0.29,High
1.51,45.24,5.53,3054.94,64.6,6.2,25.7,5,M40,7.75,1.14,Low
7.4,47.7,73.91,2032.29,10.4,41.2,72.9,9,M30,23.26,0.97,High
7.13,90.76,85.61,1594.33,42.9,24.3,49.5,3,M30,7.06,1.08,High
2.64,110.29,12.76,328.62,11.5,17.3,40.5,10,M40,7.21,0.78,Low
6.54,114.16,18.72,1679.94,53.2,-1.0,20.3,4,M30,5.86,0.59,Low
6.01,69.68,86.66,2890.5,68.0,17.0,74.0,5,M20,3.64,0.2,High
9.26,43.5,50.69,2189.44,33.2,6.7,82.5,1,M20,9.1,0.51,High
9.54,94.72,6.21,2929.35,37.1,46.6,49.6,7,M20,17.02,0.77,Low
0.73,30.87,26.9,1779.64,69.6,43.0,62.3,8,M40,18.55,0.93,Low
5.65,68.12,43.25,502.77,39.6,-5.0,37.1,6,M30,20.34,0.45,Medium
9.41,43.67,63.9,146.38,37.1,21.0,66.7,9,M50,4.94,0.35,Low
7.57,79.14,67.32,1130.95,43.8,3.5,20.9,3,M40,0.89,0.42,Medium
12.85,29.61,89.61,2473.17,52.0,14.6,56.6,2,M20,24.37,0.59,High
9.9,23.8,29.44,2786.88,8.9,42.6,68.3,5,M20,0.36,0.36,Low
2.49,110.27,50.75,1105.56,61.8,21.7,88.9,9,M30,24.02,0.37,Medium
1.11,13.11,50.33,1785.22,33.2,10.1,48.6,1,M50,20.72,0.25,Low
9.65,61.21,39.48,1531.8,6.4,2.5,77.4,1,M20,22.8,1.14,High
0.45,27.28,19.38,1495.78,59.2,38.0,64.8,10,M40,9.68,0.44,Low
8.81,5.63,88.08,886.59,28.9,27.5,89.5,3,M30,4.93,1.1,High
14.11,5.29,77.53,563.66,8.4,18.1,49.9,10,M20,15.16,0.68,High
8.65,21.85,47.36,768.74,47.9,3.0,43.9,3,M50,18.53,0.9,Low
5.85,104.15,56.28,288.13,66.1,10.1,86.5,5,M20,3.27,0.28,Medium
9.67,34.61,24.32,773.64,66.7,47.6,23.7,4,M40,19.94,0.84,Low
6.9,114.1,51.22,131.28,71.9,21.2,30.2,6,M20,5.21,0.52,Medium
8.21,70.21,64.07,2232.68,65.2,14.0,26.2,8,M40,12.29,0.3,Medium
14.12,52.96,48.79,1175.68,1.2,21.3,83.2,8,M40,21.41,1.2,Medium
5.82,70.03,89.17,3408.69,29.1,36.7,20.8,4,M40,4.84,0.86,Medium
14.42,62.49,56.96,758.64,61.6,10.4,84.6,1,M20,6.05,0.47,High
13.58,91.29,36.53,1275.82,28.1,0.7,53.8,7,M20,1.57,0.66,Medium
2.98,34.62,70.63,1316.66,45.5,25.1,20.3,6,M30,3.67,0.59,Medium
1.09,43.01,19.49,128.74,45.9,29.9,50.1,5,M20,3.66,0.97,Low
1.56,107.4,37.68,2953.31,28.0,32.8,34.0,4,M30,5.09,0.87,Low
0.32,113.63,34.49,208.78,67.9,42.9,66.8,6,M30,7.16,0.22,Low
1.46,107.21,41.7,3296.61,38.2,12.3,71.0,8,M20,20.37,0.42,Medium
10.26,50.91,71.45,3133.05,35.4,-5.5,56.6,6,M40,22.89,0.73,Medium
1.11,93.86,46.15,1920.77,74.8,47.5,23.0,3,M40,10.16,0.69,Medium
4.82,57.68,72.49,1948.22,37.5,16.1,69.2,9,M50,3.21,0.77,Low
12.68,60.21,54.0,2322.84,14.2,27.4,83.2,3,M30,5.6,0.99,Medium
0.4,25.36,34.08,1415.97,39.0,30.0,74.0,4,M30,18.41,0.95,Low
12.23,71.34,73.85,2300.56,61.2,22.8,82.2,5,M20,16.94,0.61,High
4.26,23.15,25.25,252.21,58.5,2.3,35.0,2,M20,24.18,1.17,Medium
1.82,40.46,24.07,283.76,59.4,35.3,86.7,10,M30,0.36,0.27,Low
10.47,102.75,47.88,1654.58,53.4,38.2,44.2,10,M50,18.77,0.84,Medium
9.45,25.64,27.17,1968.72,19.8,23.2,21.0,2,M20,12.64,1.24,Medium
13.17,9.47,5.77,3118.58,64.8,19.3,83.3,6,M20,22.57,0.8,Low
11.04,9.21,60.11,455.85,67.1,-3.2,90.6,2,M20,14.4,0.7,High
12.06,112.95,48.44,2897.0,15.4,-5.0,69.2,10,M20,11.17,0.35,Medium
4.27,61.32,42.87,814.16,10.7,10.4,37.4,1,M20,16.65,1.09,Medium
2.7,49.72,87.19,1439.88,73.2,8.7,38.9,8,M30,20.84,0.61,High
11.27,97.49,53.55,1176.45,65.3,47.2,55.0,10,M30,7.06,0.97,Medium
12.11,100.46,78.39,1460.53,67.1,37.0,87.3,10,M20,2.69,0.42,High
14.86,40.53,16.85,611.68,66.6,29.6,31.2,1,M20,10.83,0.25,Low
6.22,83.54,53.38,1812.14,41.1,21.1,81.9,10,M30,5.36,0.54,Medium
5.61,92.76,78.78,2825.58,48.8,0.0,41.8,6,M30,10.74,0.51,High
11.66,78.9,54.56,1601.22,41.4,48.7,80.6,1,M20,24.78,1.16,High
5.15,19.04,66.03,1768.09,4.8,12.5,89.0,8,M50,14.35,1.15,Low
13.96,105.23,36.62,2985.81,56.2,-3.6,52.1,5,M30,17.34,0.79,Medium
12.88,65.15,12.86,2500.6,38.4,19.6,47.4,3,M30,16.95,0.22,Low
6.46,34.61,43.92,1767.54,48.9,42.4,80.2,5,M40,20.52,0.45,Medium
11.28,51.6,38.53,976.17,38.2,43.2,59.7,1,M30,23.6,0.9,Medium
11.33,5.47,78.7,3108.75,37.4,-9.3,71.3,1,M40,16.47,0.31,High
1.59,16.22,25.74,2061.87,13.7,43.2,66.7,4,M50,11.9,0.97,Low
13.54,92.1,87.17,851.9,21.6,6.3,31.5,9,M20,7.95,0.21,High
7.6,1.0,86.44,1015.01,12.8,-7.7,83.4,9,M40,9.01,0.95,Medium
12.41,50.57,26.05,2830.65,15.5,40.9,34.7,1,M20,8.36,1.13,Medium
4.83,63.18,34.58,250.09,73.0,41.8,89.9,3,M20,8.11,0.72,Medium
13.44,7.5,81.12,3473.11,12.3,25.8,38.8,4,M40,17.37,1.11,High
5.87,116.8,87.16,543.2,20.9,24.5,75.0,2,M50,14.69,1.06,Medium
0.21,27.91,42.69,2806.63,44.7,38.8,41.3,7,M40,5.05,0.94,Low
13.59,37.2,32.28,1442.24,46.2,37.2,43.8,3,M20,24.24,0.69,Medium
1.41,37.17,49.72,1773.54,12.4,43.4,43.3,1,M30,10.69,0.5,Medium
4.82,28.42,63.46,3094.21,59.7,23.2,76.1,1,M30,14.15,1.15,High
14.25,1.18,28.25,1503.9,59.1,48.1,61.8,3,M20,17.57,0.91,Medium
14.26,87.79,67.6,1927.48,18.6,49.8,86.2,6,M50,15.34,1.08,Medium
8.62,116.05,9.39,267.62,22.4,-3.0,43.1,4,M30,7.78,0.81,Low
9.5,27.69,9.19,107.98,70.4,41.0,71.9,1,M20,19.94,0.39,Low
6.75,79.9,37.83,932.32,62.1,20.0,76.5,7,M20,2.75,1.28,Medium
4.43,89.29,35.05,2413.98,52.6,13.3,31.4,2,M30,14.22,0.4,Medium
4.96,101.96,31.83,512.3,7.1,26.8,50.0,5,M40,6.83,1.2,Low
10.1,51.29,46.74,486.79,32.0,-6.6,56.2,8,M20,15.39,0.43,Medium
11.3,37.05,32.26,1497.27,42.4,20.4,46.7,7,M40,5.45,0.61,Low
11.88,39.71,21.34,2302.65,14.9,42.3,44.2,8,M20,19.3,0.68,Low
11.85,85.8,31.3,2521.04,34.2,2.8,71.5,10,M30,5.69,1.21,Low
1.41,98.2,87.87,706.73,45.5,15.6,36.2,6,M40,22.26,1.18,Medium
7.44,22.61,39.94,370.6,25.2,46.4,73.2,7,M20,21.54,1.11,Medium
0.91,45.14,42.8,3297.35,58.8,15.7,90.1,9,M30,9.06,0.61,Low
8.27,108.33,54.01,986.27,63.2,11.5,62.4,6,M40,9.65,0.2,Low
6.65,97.0,88.58,3001.38,24.9,16.4,65.9,9,M30,17.54,0.95,High
13.32,118.2,25.54,3035.87,63.1,21.2,25.2,2,M30,2.26,0.65,Low
5.3,90.76,62.91,2726.58,8.7,27.9,84.8,2,M40,2.02,1.03,Medium
1.8,47.79,65.86,674.03,63.0,38.0,41.4,2,M50,3.41,1.07,Low
2.19,71.29,56.62,2894.12,12.3,17.1,66.1,6,M20,14.06,0.68,High
11.43,79.66,12.53,2715.45,7.1,39.0,93.4,2,M40,3.73,1.02,Low
9.29,10.34,62.53,2128.86,48.5,22.0,64.7,3,M20,6.94,1.12,High
1.56,65.8,10.45,1246.49,35.9,10.3,74.4,8,M20,16.17,1.22,Low
1.31,85.41,55.67,992.53,68.2,29.5,53.4,8,M20,0.39,0.84,Medium
10.53,20.91,67.86,514.42,27.9,33.1,24.5,4,M50,4.51,1.06,Medium
1.14,93.9,22.93,1833.17,22.2,23.5,79.8,9,M30,23.25,0.74,Low
12.34,70.47,76.54,2089.89,38.1,-6.6,22.6,8,M20,16.59,0.25,High
10.61,114.31,7.58,1321.75,34.7,0.2,72.5,1,M20,7.64,0.37,Low
1.27,6.05,76.72,1716.22,26.5,7.1,21.7,8,M50,1.13,0.34,Low
1.32,32.57,44.13,1335.95,52.3,7.0,84.7,1,M30,14.65,0.39,Medium
14.8,72.58,23.49,2279.42,57.2,30.4,31.8,4,M30,5.57,0.21,Low
5.65,36.29,16.37,3164.28,64.1,-8.9,58.6,10,M40,24.0,1.14,Low
5.59,86.02,86.03,657.33,73.0,35.3,64.8,6,M30,17.17,0.82,High
12.2,91.32,11.18,1396.79,20.7,5.9,54.3,7,M20,24.35,0.62,Low
14.21,13.2,21.92,578.95,54.0,8.6,45.6,10,M30,21.22,0.65,Low
14.79,62.15,34.56,2224.81,30.2,21.7,55.1,4,M50,12.08,0.71,Low
11.31,61.56,57.72,2578.16,51.1,3.0,43.4,8,M50,16.74,0.28,Low
5.68,44.94,51.31,3268.5,36.2,43.1,52.9,8,M20,20.3,0.5,High
1.3,112.02,15.68,1048.16,74.5,-4.9,46.9,9,M20,14.45,1.14,Low
11.67,99.47,29.63,3330.72,54.9,16.7,62.5,6,M20,1.54,1.02,Medium
8.4,83.97,25.29,315.09,71.5,41.0,37.8,4,M30,11.76,0.82,Low
6.39,86.0,23.15,2150.25,62.8,27.0,94.1,2,M40,3.26,0.73,Low
13.6,55.94,39.95,294.25,67.8,7.5,57.6,7,M20,17.87,0.48,Medium
1.71,110.6,64.84,3138.83,61.3,15.2,34.6,10,M40,17.02,0.72,Medium
7.41,83.66,23.48,1901.35,35.0,32.4,55.8,3,M40,24.82,0.86,Low
0.22,87.75,36.17,2375.78,19.6,48.4,85.0,3,M40,15.72,0.98,Low
7.06,103.54,38.23,2927.35,28.4,43.6,21.6,3,M50,20.0,0.38,Low
0.89,33.61,88.0,611.06,2.5,10.5,71.0,4,M30,6.71,1.09,High
1.83,97.04,86.15,231.21,39.8,49.9,61.1,2,M30,8.5,0.58,High
1.81,24.23,73.01,3088.2,38.4,-9.8,32.7,5,M40,22.93,0.75,Medium
9.76,42.1,25.54,1170.77,39.9,-8.3,81.3,3,M40,18.88,0.87,Low
11.2,40.94,10.78,538.53,73.1,39.4,47.7,10,M20,16.38,0.74,Low
8.77,117.44,31.94,1692.77,68.4,2.0,42.0,5,M40,6.35,0.83,Low
14.43,102.93,27.68,2134.24,13.0,-6.4,82.1,7,M20,17.46,0.32,Medium
5.65,84.44,48.0,205.3,28.3,4.2,67.9,9,M20,22.17,0.68,Medium
4.32,87.52,71.11,1034.65,32.4,15.6,87.4,2,M20,5.77,0.51,High
13.04,67.89,77.96,211.52,27.7,33.8,67.2,9,M50,17.65,0.29,Medium
3.39,113.7,76.81,1529.14,60.1,27.5,75.6,10,M30,9.84,0.41,Medium
14.45,60.05,35.57,3143.34,39.8,4.3,82.7,6,M20,2.97,0.86,Medium
0.23,46.28,63.41,3441.02,43.3,20.2,24.1,6,M50,19.09,0.42,Low
14.55,20.4,31.59,2265.96,64.1,45.6,78.2,3,M40,4.18,0.4,Low
0.7,94.56,10.18,649.57,60.6,38.9,66.0,10,M40,6.32,0.81,Low
13.37,88.4,64.63,3179.89,10.8,9.4,25.2,9,M20,19.57,1.2,High
7.94,46.74,5.84,1855.24,53.8,48.9,58.1,4,M20,18.55,1.07,Low
14.89,4.0,39.78,622.75,33.2,32.5,26.2,5,M30,6.35,1.2,Medium
1.15,100.84,33.0,3233.87,22.8,-6.3,75.2,3,M40,23.52,0.84,Low
8.33,2.36,63.94,2675.39,4.7,-7.9,61.0,5,M30,5.38,0.65,Medium
14.54,84.74,70.13,2587.8,37.1,0.1,91.5,8,M30,24.84,1.0,High
7.87,116.46,30.85,2511.21,27.3,33.7,33.7,8,M40,18.45,0.49,Low
9.46,53.08,73.99,781.16,19.6,1.0,65.5,8,M20,9.81,0.29,High
10.45,28.96,29.98,817.42,52.4,20.7,35.9,6,M40,3.26,0.58,Low
6.85,84.88,42.94,2440.2,57.9,-4.4,66.1,1,M30,8.01,0.53,Medium
9.43,98.24,66.8,847.06,19.1,45.3,74.2,10,M20,4.84,0.94,High
8.79,66.03,63.9,1591.48,4.7,10.6,74.2,6,M20,15.55,0.81,High
13.52,116.08,88.93,2758.81,63.8,44.5,81.1,10,M40,8.92,0.35,Medium
0.73,7.15,24.14,2765.44,1.7,46.7,84.0,7,M40,7.38,1.2,Low
4.25,61.07,61.3,1641.09,70.3,-9.6,25.8,9,M20,18.93,0.85,High
14.26,86.5,56.82,2793.45,47.4,17.8,45.7,8,M20,5.76,0.7,High
13.36,103.65,82.78,2951.31,24.8,-8.5,71.5,8,M20,14.67,1.23,High
6.86,22.33,18.29,2326.24,19.2,44.5,57.4,7,M50,4.86,0.31,Low
9.32,96.2,68.9,876.65,1.7,21.1,34.3,2,M40,17.87,1.07,Medium
4.2,66.77,53.3,1031.64,18.4,-5.5,61.5,1,M50,15.63,0.6,Low
2.86,48.19,28.35,1170.46,11.2,-3.4,50.6,2,M40,19.95,0.96,Low
6.98,16.67,45.33,497.13,46.3,13.0,49.3,6,M30,1.71,1.22,Low
5.33,103.97,33.37,1028.74,13.3,46.4,80.7,2,M20,5.25,0.77,Low
8.78,19.72,54.24,812.37,40.1,31.6,50.6,10,M30,3.86,0.22,Medium
1.21,37.86,80.57,1648.12,44.7,42.1,22.0,4,M20,4.76,0.23,High
14.62,35.52,53.39,3188.69,23.1,12.0,24.4,10,M20,2.58,0.56,High
14.79,104.7,58.7,455.23,3.6,-7.4,84.2,3,M20,14.05,1.06,High
10.49,81.05,49.09,2548.91,3.8,48.5,92.0,6,M40,14.84,0.52,Medium
8.06,95.81,9.35,2436.76,2.9,-9.0,71.6,8,M30,21.09,0.57,Low
4.68,30.81,24.79,425.56,55.7,46.9,47.3,6,M30,10.44,1.06,Low
12.22,75.36,46.82,3236.75,24.5,12.1,90.4,2,M30,13.31,0.33,Medium
10.29,69.04,31.37,2032.81,59.9,-9.4,69.7,5,M20,24.78,1.13,High
2.48,100.11,20.45,1336.67,32.9,31.3,83.3,6,M40,13.3,0.49,Low
13.67,108.82,47.85,2672.23,34.5,48.8,77.4,9,M40,14.34,0.26,Low
12.35,2.45,32.44,975.04,39.0,47.9,48.4,6,M20,24.9,0.33,Medium
14.25,81.21,26.94,2457.93,53.8,-0.3,55.9,10,M30,24.85,1.25,Medium
10.9,7.17,44.44,235.02,21.2,0.9,34.0,5,M30,10.6,0.7,Medium
9.22,66.31,16.33,2953.99,10.0,23.9,41.9,1,M20,15.87,0.48,Low
6.3,35.23,83.86,1623.78,42.1,28.2,78.4,10,M20,12.02,0.77,High
13.99,37.51,78.75,2264.76,25.2,34.4,87.0,5,M50,18.02,0.95,Medium
13.0,43.0,65.15,852.21,33.7,0.9,74.3,5,M20,23.46,0.55,High
0.73,74.93,14.03,2402.05,48.9,47.5,54.9,6,M30,7.74,1.0,Low
0.44,40.75,70.95,2725.62,37.6,28.3,26.5,7,M40,20.47,0.48,Medium
5.68,88.19,73.68,1708.92,46.9,40.8,24.3,4,M30,16.37,0.32,High
12.17,49.14,70.26,2200.27,41.3,22.4,48.1,7,M20,7.0,0.8,High
14.81,9.13,14.69,1651.51,55.7,14.9,54.8,5,M40,19.93,0.37,Low
2.3,94.27,59.73,3139.91,53.2,48.6,65.7,6,M30,10.68,1.23,Medium
8.93,35.01,75.92,1792.76,40.5,24.9,20.5,4,M40,3.01,0.2,Medium
5.74,52.5,54.08,2962.15,51.2,42.0,94.2,8,M40,24.84,1.03,Medium
14.55,82.57,59.94,2824.6,65.6,47.2,47.3,9,M40,10.64,0.51,Medium
12.64,40.56,43.96,1495.72,33.0,30.5,83.6,2,M50,13.54,1.13,Medium
12.58,7.73,49.94,882.29,31.5,22.9,60.1,4,M40,20.2,0.27,Medium
7.06,45.5,7.92,1480.68,57.6,-9.8,29.8,8,M40,24.02,1.25,Low
6.25,113.39,59.31,2909.14,44.1,-7.6,79.8,8,M40,21.82,0.31,Medium
4.14,77.37,11.92,873.95,6.3,2.1,73.2,9,M50,13.13,1.07,Low
0.89,80.91,41.98,1883.08,67.0,1.2,59.6,3,M50,13.64,0.77,Low
12.98,76.24,29.88,2840.73,3.3,5.3,58.6,1,M40,7.02,0.67,Low
12.2,24.68,51.36,1301.82,56.4,8.3,26.6,9,M20,11.57,0.51,High
15.0,50.78,16.34,2283.51,57.2,11.6,69.2,1,M40,23.67,1.13,Medium
14.95,90.36,63.79,935.15,71.5,15.2,88.3,3,M20,18.17,0.42,High
8.35,13.06,72.58,471.55,5.0,-4.1,27.0,3,M30,0.3,0.99,Medium
11.55,34.06,18.89,2800.91,45.2,-7.5,39.8,9,M20,2.91,0.69,Low
14.17,33.88,13.87,436.49,32.7,30.4,87.7,1,M50,23.1,1.3,Low
12.75,52.41,17.37,1022.7,25.5,22.2,41.3,7,M30,21.22,0.87,Low
3.75,117.66,79.56,3007.37,7.7,16.6,69.0,2,M40,12.15,0.31,Medium
6.79,9.03,49.9,1278.0,42.6,28.1,60.1,7,M30,15.42,0.66,Medium
1.98,62.73,44.72,3408.35,36.4,39.7,64.7,1,M20,7.24,0.27,Medium
14.31,22.34,14.07,3431.1,8.7,15.7,51.2,10,M30,19.82,0.51,Low
9.11,116.51,60.21,1012.14,46.3,28.5,42.5,10,M40,15.08,0.58,Medium
3.47,14.48,78.78,239.33,55.6,47.2,23.6,8,M40,17.37,1.14,Medium
10.09,49.03,75.4,2497.22,57.8,40.4,75.8,10,M20,9.37,1.12,High
9.29,88.81,58.21,1633.35,68.0,15.6,76.0,10,M20,10.76,0.21,High
5.4,84.84,11.4,442.56,31.3,28.7,70.3,2,M40,5.19,0.79,Low
1.75,51.3,14.55,2505.58,71.5,0.6,68.3,3,M20,23.7,0.45,Low
10.09,42.24,9.19,205.99,65.0,23.6,38.3,8,M20,23.66,0.55,Low
7.83,48.32,26.89,3058.67,22.9,48.9,21.7,3,M20,20.44,0.22,Medium
11.6,32.45,16.53,571.42,12.8,21.1,80.7,1,M40,23.39,1.02,Low
7.83,25.43,27.1,532.86,33.2,45.7,56.8,9,M20,16.63,1.25,Medium
12.79,58.48,37.73,697.29,30.7,14.4,43.0,8,M30,5.87,0.44,Low
8.3,32.96,85.15,3364.91,43.6,49.9,27.6,4,M50,19.01,0.58,Medium
8.44,35.21,56.88,2456.78,44.2,24.8,24.7,8,M40,8.13,0.43,Medium
13.16,79.15,75.97,2824.66,56.5,-7.5,46.2,5,M30,11.01,1.22,High
6.08,116.26,65.38,1451.96,38.7,25.2,80.4,3,M30,6.86,0.21,Medium
2.05,72.83,14.56,1243.46,8.8,6.5,88.9,1,M20,10.59,0.84,Low
0.48,10.16,67.55,897.25,64.5,-8.1,87.3,10,M20,16.98,1.16,High
11.34,9.99,28.38,1734.2,23.9,39.3,89.0,5,M20,2.77,0.4,Low
9.32,114.22,59.32,1976.22,72.9,6.5,88.1,6,M30,2.63,0.85,Medium
10.58,36.38,33.98,2248.03,9.7,37.8,59.5,4,M30,17.09,0.26,Medium
3.23,11.96,89.8,974.2,71.9,7.3,36.5,7,M50,19.49,1.1,Medium
2.09,72.29,27.4,3325.42,7.7,1.7,79.9,3,M50,13.79,0.5,Low
0.27,75.21,28.73,677.18,18.1,48.4,36.0,7,M20,4.54,1.29,Low
5.29,78.17,84.11,3383.22,4.4,11.7,40.0,1,M30,10.77,1.21,High
8.87,32.82,7.09,150.51,53.2,26.1,37.5,7,M20,18.95,1.01,Low
5.91,2.8,64.22,1735.83,63.9,26.6,58.6,1,M30,17.14,0.75,High
6.59,115.84,66.65,1233.45,33.1,23.6,44.1,1,M20,2.75,1.04,High
13.57,30.86,76.09,1627.02,69.7,44.9,31.6,2,M50,24.23,0.34,Medium
5.26,81.45,87.83,2040.26,44.7,30.5,54.0,2,M40,5.58,0.54,Medium
7.73,85.09,87.93,1581.0,47.6,14.2,85.5,4,M20,5.51,0.23,High
11.77,73.59,10.55,1510.48,63.6,41.7,62.8,1,M40,11.5,0.91,Low
5.98,38.24,74.86,2591.26,23.0,0.9,85.9,4,M30,8.18,1.09,High
9.35,33.26,59.94,2431.98,27.2,22.7,34.7,2,M30,24.6,1.24,High
12.94,72.12,60.02,2933.12,68.0,47.0,32.5,4,M30,1.91,0.96,Medium
14.25,104.07,15.91,949.86,67.7,27.5,63.2,4,M40,7.66,1.01,Low
2.25,113.66,60.27,2172.4,73.3,39.0,54.7,9,M40,9.57,1.19,Medium
13.9,13.6,88.51,2089.66,67.7,29.2,69.5,9,M40,12.34,1.23,High
7.41,19.42,82.5,1357.11,10.4,40.4,79.6,1,M30,0.41,0.74,High
3.91,113.42,42.33,1752.6,62.0,46.7,76.3,5,M40,2.06,0.32,Low
6.91,88.65,8.4,1166.86,31.3,6.4,90.7,7,M50,6.45,0.71,Low
14.7,106.08,35.79,582.27,74.3,0.2,49.9,4,M30,13.85,0.81,Medium
7.41,25.11,75.24,826.92,35.9,19.0,35.5,5,M20,19.19,0.89,High
4.96,70.92,64.63,458.75,42.0,32.1,61.3,2,M40,17.16,1.29,Medium
9.52,84.44,44.04,2422.44,40.2,3.6,28.3,3,M50,14.18,1.21,Medium
3.64,81.93,9.68,2346.47,24.8,-9.8,41.7,7,M20,9.93,0.64,Low
1.18,49.57,41.29,3332.06,6.6,10.6,35.6,10,M30,21.77,0.32,Low
1.98,2.83,44.87,2580.91,67.3,48.1,49.7,7,M20,11.49,0.44,Medium
1.96,70.37,83.93,276.96,60.4,31.7,28.3,4,M40,7.48,0.39,Medium
2.32,31.12,59.49,3106.43,11.3,14.1,22.4,1,M50,15.73,0.59,Medium
2.13,54.58,31.49,3033.1,58.5,1.6,69.3,1,M30,17.3,1.16,Medium
9.63,114.95,49.65,1607.29,47.3,11.4,65.8,4,M30,9.96,0.68,Medium
2.77,48.49,10.61,2091.93,31.3,0.2,73.1,4,M50,0.7,0.82,Low
5.22,100.94,87.67,3418.67,19.8,-3.6,69.5,6,M20,2.35,0.4,High
13.46,23.44,35.61,1909.83,64.6,44.4,28.6,7,M40,21.14,0.74,Medium
7.14,81.02,45.62,3178.09,52.8,49.9,41.8,9,M30,1.41,1.16,Medium
10.03,117.26,35.2,382.33,41.5,-0.2,29.7,9,M30,14.8,1.05,Low
2.63,13.13,63.01,749.58,46.1,-6.7,83.2,10,M30,4.59,0.29,Medium
2.92,1.99,61.29,1598.57,7.7,9.8,76.0,5,M30,5.72,1.15,Medium
0.66,52.6,65.8,2088.17,36.1,17.7,35.1,10,M50,6.83,0.5,Low
2.58,12.02,27.79,2875.17,15.3,2.3,45.6,3,M50,0.96,0.93,Low
4.21,90.06,31.83,3460.09,16.4,8.1,92.5,3,M40,4.43,0.36,Low
2.7,109.83,15.65,1422.1,49.9,2.1,64.6,6,M20,16.26,0.94,Low
1.38,52.65,60.72,261.21,68.4,36.5,80.1,1,M30,12.47,0.24,Medium
1.85,31.79,8.38,2823.98,30.9,32.8,39.8,7,M30,19.93,0.86,Low
6.94,52.69,55.8,2154.89,16.4,28.1,35.8,3,M50,1.53,0.91,Low
3.13,87.09,78.92,775.05,49.0,13.2,78.8,5,M30,22.22,0.47,High
5.5,2.08,80.72,1782.42,65.5,44.5,71.4,7,M50,24.91,1.23,Medium
7.58,71.15,43.17,2623.85,56.4,48.2,71.1,7,M50,0.39,0.25,Low
10.37,73.98,44.04,2719.4,65.3,0.4,61.4,9,M30,24.19,1.18,Medium
0.64,76.88,11.54,1798.7,40.7,3.4,62.3,1,M40,5.9,0.62,Low
12.0,29.8,62.02,1137.73,56.6,21.5,75.2,3,M50,17.31,0.99,Medium
9.44,85.97,74.81,3410.72,11.4,-4.5,40.3,9,M40,7.31,0.92,Medium
1.27,11.88,25.8,2355.43,26.8,16.2,46.5,8,M40,13.05,0.39,Low
