vibration_amplitude_mm,vibration_frequency_hz,stress_mPa,strain_micro,concrete_age_years,ambient_temp_c,humidity_pct,maintenance_score,material_grade,foundation_settlement_mm,load_ratio,failure_risk,material_grade_encoded,failure_risk_encoded,stress_capacity_ratio,vibration_severity_index,maintenance_decay_index,settlement_load_interaction,environmental_exposure_index,age_group_encoded
6.85,84.88,42.94,2440.2,57.9,-4.4,66.1,1,M30,8.01,0.53,Medium,1,2,1.4313,581.43,52.636,4.245,10.31,2
9.43,98.24,66.8,847.06,19.1,45.3,74.2,10,M20,4.84,0.94,High,0,0,3.34,926.4,1.891,4.55,48.45,1
8.79,66.03,63.9,1591.48,4.7,10.6,74.2,6,M20,15.55,0.81,High,0,0,3.195,580.4,0.77,12.596,22.71,0
13.52,116.08,88.93,2758.81,63.8,44.5,81.1,10,M40,8.92,0.35,Medium,2,2,2.2232,1569.4,6.317,3.122,52.31,2
0.73,7.15,24.14,2765.44,1.7,46.7,84.0,7,M40,7.38,1.2,Low,2,1,0.6035,5.22,0.239,8.856,56.03,0
4.25,61.07,61.3,1641.09,70.3,-9.6,25.8,9,M20,18.93,0.85,High,0,0,3.065,259.55,7.725,16.09,2.68,2
14.26,86.5,56.82,2793.45,47.4,17.8,45.7,8,M20,5.76,0.7,High,0,0,2.841,1233.49,5.852,4.032,17.27,2
13.36,103.65,82.78,2951.31,24.8,-8.5,71.5,8,M20,14.67,1.23,High,0,0,4.139,1384.76,3.062,18.044,8.22,1
6.86,22.33,18.29,2326.24,19.2,44.5,57.4,7,M50,4.86,0.31,Low,3,1,0.3658,153.18,2.704,1.507,37.02,1
9.32,96.2,68.9,876.65,1.7,21.1,34.3,2,M40,17.87,1.07,Medium,2,2,1.7225,896.58,0.81,19.121,14.1,0
4.2,66.77,53.3,1031.64,18.4,-5.5,61.5,1,M50,15.63,0.6,Low,3,1,1.066,280.43,16.727,9.378,8.92,1
2.86,48.19,28.35,1170.46,11.2,-3.4,50.6,2,M40,19.95,0.96,Low,2,1,0.7088,137.82,5.333,19.152,8.4,0
6.98,16.67,45.33,497.13,46.3,13.0,49.3,6,M30,1.71,1.22,Low,1,1,1.511,116.36,7.59,2.086,16.27,2
5.33,103.97,33.37,1028.74,13.3,46.4,80.7,2,M20,5.25,0.77,Low,0,1,1.6685,554.16,6.333,4.043,53.58,0
8.78,19.72,54.24,812.37,40.1,31.6,50.6,10,M30,3.86,0.22,Medium,1,2,1.808,173.14,3.97,0.849,26.11,2
1.21,37.86,80.57,1648.12,44.7,42.1,22.0,4,M20,4.76,0.23,High,0,0,4.0285,45.81,10.902,1.095,13.66,2
14.62,35.52,53.39,3188.69,23.1,12.0,24.4,10,M20,2.58,0.56,High,0,0,2.6695,519.3,2.287,1.445,7.81,1
14.79,104.7,58.7,455.23,3.6,-7.4,84.2,3,M20,14.05,1.06,High,0,0,2.935,1548.51,1.161,14.893,10.61,0
10.49,81.05,49.09,2548.91,3.8,48.5,92.0,6,M40,14.84,0.52,Medium,2,2,1.2273,850.21,0.623,7.717,63.02,0
8.06,95.81,9.35,2436.76,2.9,-9.0,71.6,8,M30,21.09,0.57,Low,1,1,0.3117,772.23,0.358,12.021,7.88,0
4.68,30.81,24.79,425.56,55.7,46.9,47.3,6,M30,10.44,1.06,Low,1,1,0.8263,144.19,9.131,11.066,31.64,2
12.22,75.36,46.82,3236.75,24.5,12.1,90.4,2,M30,13.31,0.33,Medium,1,2,1.5607,920.9,11.667,4.392,29.02,1
10.29,69.04,31.37,2032.81,59.9,-9.4,69.7,5,M20,24.78,1.13,High,0,0,1.5685,710.42,11.745,28.001,7.39,2
2.48,100.11,20.45,1336.67,32.9,31.3,83.3,6,M40,13.3,0.49,Low,2,1,0.5112,248.27,5.393,6.517,42.73,1
13.67,108.82,47.85,2672.23,34.5,48.8,77.4,9,M40,14.34,0.26,Low,2,1,1.1962,1487.57,3.791,3.728,53.25,1
12.35,2.45,32.44,975.04,39.0,47.9,48.4,6,M20,24.9,0.33,Medium,0,2,1.622,30.26,6.393,8.217,32.86,1
14.25,81.21,26.94,2457.93,53.8,-0.3,55.9,10,M30,24.85,1.25,Medium,1,2,0.898,1157.24,5.327,31.062,11.01,2
10.9,7.17,44.44,235.02,21.2,0.9,34.0,5,M30,10.6,0.7,Medium,1,2,1.4813,78.15,4.157,7.42,7.11,1
9.22,66.31,16.33,2953.99,10.0,23.9,41.9,1,M20,15.87,0.48,Low,0,1,0.8165,611.38,9.091,7.618,18.39,0
6.3,35.23,83.86,1623.78,42.1,28.2,78.4,10,M20,12.02,0.77,High,0,0,4.193,221.95,4.168,9.255,37.79,2
13.99,37.51,78.75,2264.76,25.2,34.4,87.0,5,M50,18.02,0.95,Medium,3,2,1.575,524.76,4.941,17.119,47.33,1
13.0,43.0,65.15,852.21,33.7,0.9,74.3,5,M20,23.46,0.55,High,0,0,3.2575,559.0,6.608,12.903,15.53,1
0.73,74.93,14.03,2402.05,48.9,47.5,54.9,6,M30,7.74,1.0,Low,1,1,0.4677,54.7,8.016,7.74,37.06,2
0.44,40.75,70.95,2725.62,37.6,28.3,26.5,7,M40,20.47,0.48,Medium,2,2,1.7738,17.93,5.296,9.826,12.8,1
5.68,88.19,73.68,1708.92,46.9,40.8,24.3,4,M30,16.37,0.32,High,1,0,2.456,500.92,11.439,5.238,14.77,2
12.17,49.14,70.26,2200.27,41.3,22.4,48.1,7,M20,7.0,0.8,High,0,0,3.513,598.03,5.817,5.6,20.39,2
14.81,9.13,14.69,1651.51,55.7,14.9,54.8,5,M40,19.93,0.37,Low,2,1,0.3672,135.22,10.922,7.374,19.13,2
2.3,94.27,59.73,3139.91,53.2,48.6,65.7,6,M30,10.68,1.23,Medium,1,2,1.991,216.82,8.721,13.136,45.07,2
8.93,35.01,75.92,1792.76,40.5,24.9,20.5,4,M40,3.01,0.21,Medium,2,2,1.898,312.64,9.878,0.632,9.2,2
5.74,52.5,54.08,2962.15,51.2,42.0,94.2,8,M40,24.84,1.03,Medium,2,2,1.352,301.35,6.321,25.585,58.4,2
14.55,82.57,59.94,2824.6,65.6,47.2,47.3,9,M40,10.64,0.51,Medium,2,2,1.4985,1201.39,7.209,5.426,31.79,2
12.64,40.56,43.96,1495.72,33.0,30.5,83.6,2,M50,13.54,1.13,Medium,3,2,0.8792,512.68,15.714,15.3,42.22,1
12.58,7.73,49.94,882.29,31.5,22.9,60.1,4,M40,20.2,0.27,Medium,2,2,1.2485,97.24,7.683,5.454,25.78,1
7.06,45.5,7.92,1480.68,57.6,-9.6505,29.8,8,M40,24.02,1.25,Low,2,1,0.198,321.23,7.111,30.025,3.08,2
6.25,113.39,59.31,2909.14,44.1,-7.6,79.8,8,M40,21.82,0.31,Medium,2,2,1.4828,708.69,5.444,6.764,9.9,2
4.14,77.37,11.92,873.95,6.3,2.1,73.2,9,M50,13.13,1.07,Low,3,1,0.2384,320.31,0.692,14.049,16.18,0
0.89,80.91,41.98,1883.08,67.0,1.2,59.6,3,M50,13.64,0.77,Low,3,1,0.8396,72.01,21.613,10.503,12.64,2
12.98,76.24,29.88,2840.73,3.3,5.3,58.6,1,M40,7.02,0.67,Low,2,1,0.747,989.6,3.0,4.703,14.83,0
12.2,24.68,51.36,1301.82,56.4,8.3,26.6,9,M20,11.57,0.51,High,0,0,2.568,301.1,6.198,5.901,7.53,2
14.91505,50.78,16.34,2283.51,57.2,11.6,69.2,1,M40,23.67,1.13,Medium,2,2,0.4085,757.39,52.0,26.747,21.87,2
14.91505,90.36,63.79,935.15,71.5,15.2,88.3,3,M20,18.17,0.42,High,0,0,3.1895,1347.72,23.065,7.631,31.08,2
8.35,13.06,72.58,471.55,5.0,-4.1,27.0,3,M30,0.3,0.99,Medium,1,2,2.4193,109.05,1.613,0.297,4.29,0
11.55,34.06,18.89,2800.91,45.2,-7.5,39.8,9,M20,2.91,0.69,Low,0,1,0.9445,393.39,4.967,2.008,4.97,2
14.17,33.88,13.87,436.49,32.7,30.4,87.7,1,M50,23.1,1.29,Low,3,1,0.2774,480.08,29.727,29.799,44.2,1
12.75,52.41,17.37,1022.7,25.5,22.2,41.3,7,M30,21.22,0.87,Low,1,1,0.579,668.23,3.592,18.461,17.43,1
3.75,117.66,79.56,3007.37,7.7,16.6,69.0,2,M40,12.15,0.31,Medium,2,2,1.989,441.22,3.667,3.766,25.25,0
6.79,9.03,49.9,1278.0,42.6,28.1,60.1,7,M30,15.42,0.66,Medium,1,2,1.6633,61.31,6.0,10.177,28.91,2
1.98,62.73,44.72,3408.35,36.4,39.7,64.7,1,M20,7.24,0.27,Medium,0,2,2.236,124.21,33.091,1.955,38.63,1
14.31,22.34,14.07,3431.1,8.7,15.7,51.2,10,M30,19.82,0.51,Low,1,1,0.469,319.69,0.861,10.108,18.28,0
9.11,116.51,60.21,1012.14,46.3,28.5,42.5,10,M40,15.08,0.58,Medium,2,2,1.5052,1061.41,4.584,8.746,20.61,2
3.47,14.48,78.78,239.33,55.6,47.2,23.6,8,M40,17.37,1.14,Medium,2,2,1.9695,50.25,6.864,19.802,15.86,2
10.09,49.03,75.4,2497.22,57.8,40.4,75.8,10,M20,9.37,1.12,High,0,0,3.77,494.71,5.723,10.494,45.78,2
9.29,88.81,58.21,1633.35,68.0,15.6,76.0,10,M20,10.76,0.21,High,0,0,2.9105,825.04,6.733,2.26,27.06,2
5.4,84.84,11.4,442.56,31.3,28.7,70.3,2,M40,5.19,0.79,Low,2,1,0.285,458.14,14.905,4.1,34.24,1
1.75,51.3,14.55,2505.58,71.5,0.6,68.3,3,M20,23.7,0.45,Low,0,1,0.7275,89.78,23.065,10.665,14.07,2
10.09,42.24,9.19,205.99,65.0,23.6,38.3,8,M20,23.66,0.55,Low,0,1,0.4595,426.2,8.025,13.013,16.7,2
7.83,48.32,26.89,3058.67,22.9,48.9,21.7,3,M20,20.44,0.22,Medium,0,2,1.3445,378.35,7.387,4.497,14.95,1
11.6,32.45,16.53,571.42,12.8,21.1,80.7,1,M40,23.39,1.02,Low,2,1,0.4132,376.42,11.636,23.858,33.17,0
7.83,25.43,27.1,532.86,33.2,45.7,56.8,9,M20,16.63,1.25,Medium,0,2,1.355,199.12,3.648,20.787,37.32,1
12.79,58.48,37.73,697.29,30.7,14.4,43.0,8,M30,5.87,0.44,Low,1,1,1.2577,747.96,3.79,2.583,14.79,1
8.3,32.96,85.15,3364.91,43.6,49.7,27.6,4,M50,19.01,0.58,Medium,3,2,1.703,273.57,10.634,11.026,19.24,2
8.44,35.21,56.88,2456.78,44.2,24.8,24.7,8,M40,8.13,0.43,Medium,2,2,1.422,297.17,5.457,3.496,11.07,2
13.16,79.15,75.97,2824.66,56.5,-7.5,46.2,5,M30,11.01,1.22,High,1,0,2.5323,1041.61,11.078,13.432,5.78,2
6.08,116.26,65.38,1451.96,38.7,25.2,80.4,3,M30,6.86,0.21,Medium,1,2,2.1793,706.86,12.484,1.441,36.34,1
2.05,72.83,14.56,1243.46,8.8,6.5,88.9,1,M20,10.59,0.84,Low,0,1,0.728,149.3,8.0,8.896,23.56,0
0.48,10.16,67.55,897.25,64.5,-8.1,87.3,10,M20,16.98,1.16,High,0,0,3.3775,4.88,6.386,19.697,10.39,2
11.34,9.99,28.38,1734.2,23.9,39.3,89.0,5,M20,2.77,0.4,Low,0,1,1.419,113.29,4.686,1.108,52.78,1
9.32,114.22,59.32,1976.22,72.9,6.5,88.1,6,M30,2.63,0.85,Medium,1,2,1.9773,1064.53,11.951,2.236,23.35,2
10.58,36.38,33.98,2248.03,9.7,37.8,59.5,4,M30,17.09,0.26,Medium,1,2,1.1327,384.9,2.366,4.443,34.39,0
3.23,11.96,89.34050000000002,974.2,71.9,7.3,36.5,7,M50,19.49,1.1,Medium,3,2,1.7868,38.63,10.127,21.439,9.96,2
2.09,72.29,27.4,3325.42,7.7,1.7,79.9,3,M50,13.79,0.5,Low,3,1,0.548,151.09,2.484,6.895,17.34,0
0.27,75.21,28.73,677.18,18.1,48.4,36.0,7,M20,4.54,1.29,Low,0,1,1.4365,20.31,2.549,5.857,24.62,1
5.29,78.17,84.11,3383.22,4.4,11.7,40.0,1,M30,10.77,1.21,High,1,0,2.8037,413.52,4.0,13.032,12.68,0
8.87,32.82,7.09,150.51,53.2,26.1,37.5,7,M20,18.95,1.01,Low,0,1,0.3545,291.11,7.493,19.14,17.29,2
5.91,2.8,64.22,1735.83,63.9,26.6,58.6,1,M30,17.14,0.75,High,1,0,2.1407,16.55,58.091,12.855,27.31,2
6.59,115.84,66.65,1233.45,33.1,23.6,44.1,1,M20,2.75,1.04,High,0,0,3.3325,763.39,30.091,2.86,19.23,1
13.57,30.86,76.09,1627.02,69.7,44.9,31.6,2,M50,24.23,0.34,Medium,3,2,1.5218,418.77,33.19,8.238,20.51,2
5.26,81.45,87.83,2040.26,44.7,30.5,54.0,2,M40,5.58,0.54,Medium,2,2,2.1958,428.43,21.286,3.013,27.27,2
7.73,85.09,87.93,1581.0,47.6,14.2,85.5,4,M20,5.51,0.23,High,0,0,4.3965,657.75,11.61,1.267,29.24,2
11.77,73.59,10.55,1510.48,63.6,41.7,62.8,1,M40,11.5,0.91,Low,2,1,0.2638,866.15,57.818,10.465,38.75,2
5.98,38.24,74.86,2591.26,23.0,0.9,85.9,4,M30,8.18,1.09,High,1,0,2.4953,228.68,5.61,8.916,17.95,1
9.35,33.26,59.94,2431.98,27.2,22.7,34.7,2,M30,24.6,1.24,High,1,0,1.998,310.98,12.952,30.504,14.82,1
12.94,72.12,60.02,2933.12,68.0,47.0,32.5,4,M30,1.91,0.96,Medium,1,2,2.0007,933.23,16.585,1.834,21.78,2
14.25,104.07,15.91,949.86,67.7,27.5,63.2,4,M40,7.66,1.01,Low,2,1,0.3978,1483.0,16.512,7.737,30.02,2
2.25,113.66,60.27,2172.4,73.3,39.0,54.7,9,M40,9.57,1.19,Medium,2,2,1.5068,255.74,8.055,11.388,32.27,2
13.9,13.6,88.51,2089.66,67.7,29.2,69.5,9,M40,12.34,1.23,High,2,0,2.2128,189.04,7.44,15.178,34.19,2
7.41,19.42,82.5,1357.11,10.4,40.4,79.6,1,M30,0.41,0.74,High,1,0,2.75,143.9,9.455,0.303,48.08,0
3.91,113.42,42.33,1752.6,62.0,46.7,76.3,5,M40,2.06,0.32,Low,2,1,1.0582,443.47,12.157,0.659,50.89,2
6.91,88.65,8.4,1166.86,31.3,6.4,90.7,7,M50,6.45,0.71,Low,3,1,0.168,612.57,4.408,4.579,23.94,1
14.7,106.08,35.79,582.27,74.3,0.2,49.9,4,M30,13.85,0.81,Medium,1,2,1.193,1559.38,18.122,11.218,10.08,2
7.41,25.11,75.24,826.92,35.9,19.0,35.5,5,M20,19.19,0.89,High,0,0,3.762,186.07,7.039,17.079,13.84,1
4.96,70.92,64.63,458.75,42.0,32.1,61.3,2,M40,17.16,1.29,Medium,2,2,1.6157,351.76,20.0,22.136,31.94,2
9.52,84.44,44.04,2422.44,40.2,3.6,28.3,3,M50,14.18,1.21,Medium,3,2,0.8808,803.87,12.968,17.158,6.68,2
3.64,81.93,9.68,2346.47,24.8,-9.6505,41.7,7,M20,9.93,0.64,Low,0,1,0.484,298.23,3.493,6.355,4.32,1
1.18,49.57,41.29,3332.06,6.6,10.6,35.6,10,M30,21.77,0.32,Low,1,1,1.3763,58.49,0.653,6.966,10.89,0
1.98,2.83,44.87,2580.91,67.3,48.1,49.7,7,M20,11.49,0.44,Medium,0,2,2.2435,5.6,9.479,5.056,33.85,2
1.96,70.37,83.93,276.96,60.4,31.7,28.3,4,M40,7.48,0.39,Medium,2,2,2.0982,137.93,14.732,2.917,14.63,2
2.32,31.12,59.49,3106.43,11.3,14.1,22.4,1,M50,15.73,0.59,Medium,3,2,1.1898,72.2,10.273,9.281,7.64,0
2.13,54.58,31.49,3033.1,58.5,1.6,69.3,1,M30,17.3,1.16,Medium,1,2,1.0497,116.26,53.182,20.068,14.97,2
9.63,114.95,49.65,1607.29,47.3,11.4,65.8,4,M30,9.96,0.68,Medium,1,2,1.655,1106.97,11.537,6.773,20.66,2
2.77,48.49,10.61,2091.93,31.3,0.2,73.1,4,M50,0.7,0.82,Low,3,1,0.2122,134.32,7.634,0.574,14.77,1
5.22,100.94,87.67,3418.67,19.8,-3.6,69.5,6,M20,2.35,0.4,High,0,0,4.3835,526.91,3.246,0.94,11.4,1
13.46,23.44,35.61,1909.83,64.6,44.4,28.6,7,M40,21.14,0.74,Medium,2,2,0.8902,315.5,9.099,15.644,18.42,2
7.14,81.02,45.62,3178.09,52.8,49.7,41.8,9,M30,1.41,1.16,Medium,1,2,1.5207,578.48,5.802,1.636,29.13,2
10.03,117.26,35.2,382.33,41.5,-0.2,29.7,9,M30,14.8,1.05,Low,1,1,1.1733,1176.12,4.56,15.54,5.88,2
2.63,13.13,63.01,749.58,46.1,-6.7,83.2,10,M30,4.59,0.29,Medium,1,2,2.1003,34.53,4.564,1.331,11.07,2
2.92,1.99,61.29,1598.57,7.7,9.8,76.0,5,M30,5.72,1.15,Medium,1,2,2.043,5.81,1.51,6.578,22.65,0
0.66,52.6,65.8,2088.17,36.1,17.7,35.1,10,M50,6.83,0.5,Low,3,1,1.316,34.72,3.574,3.415,13.23,1
2.58,12.02,27.79,2875.17,15.3,2.3,45.6,3,M50,0.96,0.93,Low,3,1,0.5558,31.01,4.935,0.893,10.17,1
4.21,90.06,31.83,3460.09,16.4,8.1,92.5,3,M40,4.43,0.36,Low,2,1,0.7958,379.15,5.29,1.595,25.99,1
2.7,109.83,15.65,1422.1,49.9,2.1,64.6,6,M20,16.26,0.94,Low,0,1,0.7825,296.54,8.18,15.284,14.28,2
1.38,52.65,60.72,261.21,68.4,36.5,80.1,1,M30,12.47,0.24,Medium,1,2,2.024,72.66,62.182,2.993,45.26,2
1.85,31.79,8.38,2823.98,30.9,32.8,39.8,7,M30,19.93,0.86,Low,1,1,0.2793,58.81,4.352,17.14,21.01,1
6.94,52.69,55.8,2154.89,16.4,28.1,35.8,3,M50,1.53,0.91,Low,3,1,1.116,365.67,5.29,1.392,17.22,1
3.13,87.09,78.92,775.05,49.0,13.2,78.8,5,M30,22.22,0.47,High,1,0,2.6307,272.59,9.608,10.443,26.16,2
5.5,2.08,80.72,1782.42,65.5,44.5,71.4,7,M50,24.90505,1.23,Medium,3,2,1.6144,11.44,9.225,30.633,46.05,2
7.58,71.15,43.17,2623.85,56.4,48.2,71.1,7,M50,0.39,0.25,Low,3,1,0.8634,539.32,7.944,0.098,48.49,2
10.37,73.98,44.04,2719.4,65.3,0.4,61.4,9,M30,24.19,1.18,Medium,1,2,1.468,767.17,7.176,28.544,12.53,2
0.64,76.88,11.54,1798.7,40.7,3.4,62.3,1,M40,5.9,0.62,Low,2,1,0.2885,49.2,37.0,3.658,14.58,2
12.0,29.8,62.02,1137.73,56.6,21.5,75.2,3,M50,17.31,0.99,Medium,3,2,1.2404,357.6,18.258,17.137,31.21,2
9.44,85.97,74.81,3410.72,11.4,-4.5,40.3,9,M40,7.31,0.92,Medium,2,2,1.8702,811.56,1.253,6.725,6.25,0
1.27,11.88,25.8,2355.43,26.8,16.2,46.5,8,M40,13.05,0.39,Low,2,1,0.645,15.09,3.309,5.09,16.83,1
13.11,24.71,40.81,1488.01,29.8,24.9,85.4,2,M40,12.76,0.55,Medium,2,2,1.0203,323.95,14.19,7.018,38.34,1
13.82,105.42,76.3,1053.57,38.8,21.3,43.2,8,M20,9.03,0.78,High,0,0,3.815,1456.9,4.79,7.043,17.84,1
0.96,88.91,79.56,2585.75,69.8,9.9,61.0,8,M30,17.94,1.13,High,1,0,2.652,85.35,8.617,20.272,18.24,2
4.19,2.64,25.67,923.42,65.7,22.5,72.7,2,M20,14.99,1.25,Medium,0,2,1.2835,11.06,31.286,18.738,30.9,2
12.1,30.56,51.8,683.81,11.0,47.5,94.6505,8,M20,12.71,0.22,Medium,0,2,2.59,369.78,1.358,2.796,63.89,0
11.24,26.51,21.36,1901.44,13.8,2.4,52.6,3,M40,24.57,0.59,Low,2,1,0.534,297.97,4.452,14.496,11.78,0
2.81,33.23,13.66,1085.96,27.5,29.3,52.1,7,M30,23.5,0.93,Low,1,1,0.4553,93.38,3.873,21.855,25.69,1
3.18,30.46,82.45,2238.28,22.5,-7.4,83.2,9,M20,23.89,0.78,High,0,0,4.1225,96.86,2.473,18.634,10.48,1
5.59,8.44,74.74,500.99,46.5,-6.0,80.4,4,M30,22.03,1.24,High,1,0,2.4913,47.18,11.341,27.317,11.26,2
7.29,55.61,69.6,2326.8,67.8,23.1,74.8,6,M50,6.38,0.22,Medium,3,2,1.392,405.4,11.115,1.404,32.24,2
9.29,88.2,9.15,1063.21,72.2,-3.7,54.7,9,M40,8.75,0.68,Low,2,1,0.2288,819.38,7.934,5.95,8.92,2
5.57,73.2,76.72,113.72415,49.4,-8.7,44.3,5,M20,5.78,0.94,High,0,0,3.836,407.72,9.686,5.433,5.01,2
6.96,81.07,42.23,531.58,63.0,0.3,65.7,1,M50,24.65,0.44,Low,3,1,0.8446,564.25,57.273,10.846,13.34,2
11.22,10.66,34.1,3274.29,39.9,23.9,85.7,3,M30,3.82,1.0,Medium,1,2,1.1367,119.61,12.871,3.82,37.62,1
0.6,114.23,51.45,3049.01,16.4,32.2,86.3,9,M40,9.16,0.29,Low,2,1,1.2863,68.54,1.802,2.656,45.05,1
3.82,100.78,12.77,894.27,39.8,2.1,28.1,3,M40,4.98,0.7,Low,2,1,0.3192,384.98,12.839,3.486,6.21,1
10.71,96.81,69.31,2746.46,42.1,30.1,52.1,10,M50,5.59,0.94,Medium,3,2,1.3862,1036.84,4.168,5.255,26.1,2
13.43,98.94,54.51,2169.14,55.9,0.9,54.9,2,M40,6.18,0.49,Medium,2,2,1.3627,1328.76,26.619,3.028,11.47,2
7.7,111.99,20.86,3401.08,17.3,26.8,93.3,4,M20,15.99,0.28,Medium,0,2,1.043,862.32,4.22,4.477,43.66,1
8.01,65.77,21.0,1370.26,28.3,14.7,70.8,5,M30,1.9,1.25,Low,1,1,0.7,526.82,5.549,2.375,24.57,1
1.65,24.83,20.66,2416.97,27.9,29.2,50.5,7,M30,14.31,1.21,Low,1,1,0.6887,40.97,3.93,17.315,24.85,1
6.74,74.4,9.85,316.02,72.0,49.7,22.0,7,M30,20.48,1.22,Low,1,1,0.3283,501.46,10.141,24.986,15.33,2
8.01,89.4,54.96,1447.24,33.9,46.3,62.4,9,M30,19.16,1.28,Medium,1,2,1.832,716.09,3.725,24.525,41.37,1
3.67,88.81,76.43,3376.98,56.9,-9.6505,27.2,8,M30,3.78,0.4,Medium,1,2,2.5477,325.93,7.025,1.512,2.82,2
4.08,63.05,6.49,1932.53,56.6,43.1,82.6,2,M30,22.87,0.37,Low,1,1,0.2163,257.24,26.952,8.462,52.12,2
5.69,9.15,9.17,1078.79,20.7,-6.0,76.4,8,M20,19.25,0.24,Low,0,1,0.4585,52.06,2.556,4.62,10.7,1
0.35,45.16,53.69,508.92,43.3,47.2,54.5,8,M30,0.13495,1.18,Low,1,1,1.7897,15.81,5.346,0.159,36.62,2
4.87,110.57,74.66,2492.0,67.2,6.9,52.2,5,M40,18.43,1.03,Medium,2,2,1.8665,538.48,13.176,18.983,14.04,2
3.21,70.55,32.77,2292.51,36.2,12.9,87.3,3,M30,18.44,0.9,Low,1,1,1.0923,226.47,11.677,16.596,28.72,1
4.95,65.06,34.72,1371.39,70.9,-4.5,41.6,9,M50,12.42,1.22,Low,3,1,0.6944,322.05,7.791,15.152,6.45,2
1.84,32.99,55.69,3333.2,16.9,-3.3,38.7,7,M20,1.15,0.83,High,0,0,2.7845,60.7,2.38,0.954,6.46,1
13.36,44.85,28.31,175.49,6.5,33.6,90.4,1,M30,14.5,0.34,Low,1,1,0.9437,599.2,5.909,4.93,48.45,0
8.92,107.55,7.26,1132.66,67.0,46.7,80.7,8,M30,19.14,0.39,Low,1,1,0.242,959.35,8.272,7.465,53.83,2
10.2,80.31,67.49,3231.64,63.7,26.6,81.5,10,M20,6.77,0.35,High,0,0,3.3745,819.16,6.307,2.369,37.98,2
11.85,94.7,58.18,1191.18,74.5,33.0,34.6,5,M20,16.68,0.54,High,0,0,2.909,1122.2,14.608,9.007,18.34,2
7.5,55.07,54.36,957.66,51.3,35.7,30.7,6,M50,8.85,0.62,Low,3,1,1.0872,413.02,8.41,5.487,17.1,2
1.35,76.0,68.04,1916.35,70.3,5.8,22.0,9,M30,14.35,1.08,Medium,1,2,2.268,102.6,7.725,15.498,5.68,2
8.08,30.56,62.39,2900.93,62.2,-7.3,37.8,10,M30,9.61,0.41,Medium,1,2,2.0797,246.92,6.158,3.94,4.8,2
8.82,84.95,22.5,450.7,63.5,-9.6505,78.1,8,M30,7.59,1.0,Low,1,1,0.75,749.26,7.84,7.59,8.08,2
11.19,51.88,34.96,3306.27,43.1,11.0,38.0,3,M40,21.4,0.74,Medium,2,2,0.874,580.54,13.903,15.836,11.78,2
6.5,53.66,15.72,2803.25,29.3,4.5,74.7,5,M30,18.85,1.29,Low,1,1,0.524,348.79,5.745,24.316,18.3,1
1.96,78.27,16.04,716.25,70.2,-6.3,38.9,4,M40,8.64,1.05,Low,2,1,0.401,153.41,17.122,9.072,5.33,2
4.29,112.42,62.48,2520.83,33.0,0.8,49.6,1,M30,10.87,1.27,High,1,0,2.0827,482.28,30.0,13.805,10.32,1
5.48,8.62,77.98,1408.86,40.9,-2.5,93.7,5,M30,17.29,0.58,High,1,0,2.5993,47.24,8.02,10.028,16.4,2
9.71,99.14,86.83,1467.8,34.0,44.9,38.4,10,M20,20.28,0.34,High,0,0,4.3415,962.65,3.366,6.895,24.92,1
8.58,35.79,58.41,2763.19,42.8,-1.6,48.2,7,M40,17.11,0.76,Medium,2,2,1.4602,307.08,6.028,13.004,8.87,2
5.37,53.83,20.65,3373.47,35.8,22.3,42.6,1,M40,13.52,0.34,Low,2,1,0.5162,289.07,32.545,4.597,18.02,1
14.8,3.61,13.98,530.63,4.5,25.6,28.2,4,M30,23.86,0.74,Low,1,1,0.466,53.43,1.098,17.656,12.86,0
9.11,36.82,74.09,1530.14,66.3,22.6,56.7,6,M20,19.35,0.5,High,0,0,3.7045,335.43,10.869,9.675,24.15,2
3.6,60.81,54.19,1735.2,33.9,-4.1,48.4,9,M30,2.89,0.74,Low,1,1,1.8063,218.92,3.725,2.139,7.7,1
1.57,7.68,57.55,1379.46,44.6,9.1,72.1,8,M20,13.95,1.24,High,0,0,2.8775,12.06,5.506,17.298,20.98,2
2.34,59.44,71.42,1334.84,11.3,-6.9,81.3,2,M30,10.24,0.52,Medium,1,2,2.3807,139.09,5.381,5.325,10.65,0
3.73,111.33,64.78,277.71,1.4,13.7,60.8,3,M40,19.87,1.29,Medium,2,2,1.6195,415.26,0.452,25.632,20.49,0
2.45,13.54,75.93,2430.83,19.2,1.3,22.4,10,M40,1.12,0.45,Low,2,1,1.8983,33.17,1.901,0.504,4.77,1
2.84,91.97,9.78,1583.13,53.1,23.7,66.4,5,M20,10.27,0.43,Low,0,1,0.489,261.19,10.412,4.416,29.02,2
4.31,49.75,68.54,762.3,8.3,31.6,24.2,7,M50,7.96,0.8,Low,3,1,1.3708,214.42,1.169,6.368,12.49,0
2.64,78.97,77.32,2874.51,68.3,21.9,66.2,3,M50,3.53,1.13,Medium,3,2,1.5464,208.48,22.032,3.989,27.74,2
13.46,31.97,29.32,2828.71,16.9,16.1,71.4,7,M30,9.47,1.02,Medium,1,2,0.9773,430.32,2.38,9.659,25.78,1
1.25,19.98,59.44,1753.73,16.1,13.2,34.8,5,M30,16.82,1.0,Medium,1,2,1.9813,24.98,3.157,16.82,11.55,1
7.89,20.1,31.7,1114.73,14.4,40.5,81.5,10,M50,9.04,0.51,Low,3,1,0.634,158.59,1.426,4.61,49.31,0
